,reviews,ratings,date
890,"Disneyland was fun and when we visited Disneyland Park on Mobday, it was the last night of the electrical parade so it was packed.  Our kids had a great time on the rides and pictures with the Disney Characters like Goofy.  The only thing that was disappointing when it was time to eat.   We are huge Star Wars fans and to see Disneyland recreate the area it was incredible.  We didn't get an opportunity to ride any rides but still enjoyed it. It was very hard to find very many options that didn't have pork products included into the dish for the meal.  The men's restrooms were disgusting with pee all over the floors and toilets.  People these days don't know how to lift the toilet seat or stand closer when they have to pee.  We hope to do this again in two years.",4/5,3 years ago on  Google
891,"Great park! Everyone is helpful and friendly. Shout out to Kevin, the cast member with the balloons for being so sweet and letting us take photos!",5/5,3 years ago on  Google
892,"Not the happiest place on earth.  Over crowded. Everything is over priced. Spend an entire day to wait in line. Maybe be able to ride 3 or 4 rides in a 12 hour trip. Good luck, you are going to need it. I got in free, if I had to pay $500 for my family to get in the gates my review would be even more negative. Good luck. God bless your soul.",1/5,3 years ago on  Google
893,"Massive disappointment - expensive tickets, huge lines, long waits. Overall poor value for money. Disney is really milking its customers with extra fee for Genie+, overpriced merchandise and food, all while trying to squeeze as many customers inside the park as possible.",2/5,4 months ago on  Google
894,Amazing place. Single day is not enough to cover all rides. So plan your day and start early morning. It’s lifetime memorable place. Must visit.,5/5,3 months ago on  Google
895,"I've been going to Disneyland every year for the last 15 years, obviously it used to be a great place for family fun. Their policies have changed so much and have really ruined what used to be the magic of Disneyland. It's not family friendly anymore specially if you have Littles. Such a sad disappointment of what Disneyland has become. Don't waste your money or at least set your expectations very low for this Disney  disappointment.",1/5,4 months ago on  Google
896,Much more organized than 2 years ago.  Frozen and Fantasmic both worth the wait.  The park was decorated in Christmas decor and it was very nice and festive.,5/5,4 years ago on  Google
897,"I'm not a big fan of the fast pass. I felt like it was a waist if money and the staff member never really explained it to me, so I purchased it and wasnt ever able to use it.",4/5,2 years ago on  Google
898,Great family  entertainment  .  Lots of things to do for everyone. Beautiful  parade.Food is pricey and not that great just bunch if sugar.  Too crowded.,4/5,3 years ago on  Google
899,"Disney truly is the most magical place for children...and adults haha. My kids have had an absolute wonderful time exploring, meeting their favorite characters and having a blast on rides. Highly recommend.",5/5,3 years ago on  Google
900,The best part the weather was cool..probably wasnt the best time to go as the park opened.seeing as everyone else did the same. Overall it was cool..lots of people equals longer lines..but the lines were moving descent.,4/5,3 years ago on  Google
901,"I whent in the most crowded time of the year with my 👪, we have a blast!! Advise: max pas(fast pas)is a most, all professional pictures a downloaded to your Disney app( get it is free)",5/5,3 years ago on  Google
902,"I’ve been here 10+ times over the years. All times have been wonderful. This time (over 3 days), less so.Too many attractions were closed such as It’s a small world, the castle and astro orbiter and malfunctioning attractions — we had to walk off Monsters Inc., and the haunted house was closed temporarily while we had a Fastpass, etc. (Though we learned when we asked that it becomes a “multi-experience pass” after the timeframe if the ride isn’t available — the app doesn’t indicate what this means, so asking helps). 🙂Increasing security measure are a surprise every time, recognizing that it’s perhaps the times rather than the parks per se — bag check line-ups, screening, police towers and presence with dogs at entrances, etc. take some getting use to (and time) like an airport.We experienced Astro Blasters several times to the delight of our children, as this ride and lines were well run. The staff are also friendly too. The night show that’s projected on, “It’s a small world” building is enjoyable and best on the weekends with the coinciding fireworks.If interested, see other reviews about Wine Country Trattoria and Flo's V8. We had a terrible experience at the Trattoria in Disney California Adventure with no reasonable resolution, which I've not included in my rating of this park, though has affected our interest in returning to a Disney Resort.",4/5,3 years ago on  Google
